fecha,ccaa,Casos totales,Casos diag día previo,Casos diag ultimos 14 días: n,Casos diag ultimos 14 días: IA,Casos diag ultimos 7 días: n,Casos diag ultimos 7 días: IA,Casos diag fecha sintomas 14 días:n,Casos diag fecha sintomas 14 días:IA,Casos diag fecha sintomas 7 días:n,Casos diag fecha sintomas 7 días:IA
2020-08-12,Castilla La Mancha,19.582 ,69 ,934 ,"45,95 ",591 ,"29,07 ",478 ,"23,51 ",184 ,"9,05 "
2020-08-12,Castilla y León,22.169 ,51 ,1.967 ,"81,97 ",1.299 ,"54,14 ",485 ,"20,21 ",180 ,"7,50 "
2020-08-12,Cataluña,89.909 ,200 ,11.354 ,"147,93 ",4.834 ,"62,98 ",3.619 ,"47,15 ",995 ,"12,96 "
2020-08-12,Ceuta,168 ,0 ,3 ,"3,54 ",2 ,"2,36 ",2 ,"2,36 ",2 ,"2,36 "
2020-08-12,C. Valenciana,15.934 ,45 ,2.713 ,"54,22 ",1.329 ,"26,56 ",1.030 ,"20,58 ",246 ,"4,92 "
2020-08-12,Extremadura,3.664 ,39 ,321 ,"30,06 ",191 ,"17,89 ",117 ,"10,96 ",39 ,"3,65 "
2020-08-12,Galicia,10.480 ,103 ,816 ,"30,23 ",585 ,"21,67 ",194 ,"7,19 ",89 ,"3,30 "
2020-08-12,Madrid,83.606 ,- ,8.578 ,"128,73 ",5.395 ,"80,96 ",1.897 ,"28,47 ",527 ,"7,91 "
2020-08-12,Melilla,180 ,6 ,51 ,"58,97 ",36 ,"41,62 ",24 ,"27,75 ",9 ,"10,41 "
2020-08-12,Murcia,3.116 ,47 ,871 ,"58,30 ",434 ,"29,05 ",430 ,"28,78 ",123 ,"8,23 "
2020-08-12,Navarra,7.713 ,160 ,1.154 ,"176,39 ",714 ,"109,14 ",547 ,"83,61 ",220 ,"33,63 "
2020-08-12,País Vasco,19.009 ,268 ,3.501 ,"158,58 ",2.235 ,"101,23 ",282 ,"12,77 ",48 ,"2,17 "
2020-08-12,La Rioja,4.333 ,30 ,144 ,"45,45 ",120 ,"37,88 ",81 ,"25,57 ",60 ,"18,94 "
2020-08-13,Andalucía,18.501 ,217 ,3.500 ,"41,60 ",1.984 ,"23,58 ",1.177 ,"13,99 ",447 ,"5,31 "
2020-08-13,Aragón,19.845 ,418 ,7.559 ,"572,96 ",3.415 ,"258,85 ",1.338 ,"101,42 ",192 ,"14,55 "
2020-08-13,Asturias,2.764 ,29 ,269 ,"26,30 ",157 ,"15,35 ",74 ,"7,24 ",43 ,"4,20 "
2020-08-13,Baleares,4.044 ,38 ,1.504 ,"130,84 ",922 ,"80,21 ",844 ,"73,43 ",308 ,"26,80 "
2020-08-13,Canarias,3.208 ,99 ,584 ,"27,12 ",463 ,"21,50 ",353 ,"16,39 ",196 ,"9,10 "
2020-08-13,Cantabria,2.869 ,45 ,414 ,"71,25 ",246 ,"42,34 ",193 ,"33,21 ",73 ,"12,56 "
2020-08-13,Castilla La Mancha,19.707 ,41 ,1.001 ,"49,24 ",634 ,"31,19 ",518 ,"25,48 ",196 ,"9,64 "
2020-08-13,Castilla y León,22.391 ,75 ,2.128 ,"88,68 ",1.281 ,"53,39 ",528 ,"22,00 ",183 ,"7,63 "
2020-08-13,Cataluña,90.890 ,164 ,11.030 ,"143,71 ",4.799 ,"62,53 ",3.593 ,"46,81 ",918 ,"11,96 "
2020-08-13,Ceuta,169 ,1 ,3 ,"3,54 ",3 ,"3,54 ",3 ,"3,54 ",3 ,"3,54 "
2020-08-13,C. Valenciana,16.292 ,76 ,2.850 ,"56,96 ",1.362 ,"27,22 ",1.072 ,"21,42 ",265 ,"5,30 "
2020-08-13,Extremadura,3.722 ,58 ,371 ,"34,75 ",211 ,"19,76 ",118 ,"11,05 ",45 ,"4,21 "
